Slide_Number	Crypt_ID	LGR5_Count	Ectopic_Count
1	1	2	1
2	2	4	1
3	3	3	1
4	4	1	0
5	5	3	2
6	6	2	1
7	7	1	0
8	8	3	1
9	9	2	0
10	10	1	0
11	11	4	0
12	12	1	0
13	13	2	0
14	14	3	0
15	15	3	1
16	16	2	0
17	17	9	5
18	18	4	0
19	19	3	2
20	20	2	1
21	21	5	2
22	22	1	1
23	23	3	1
24	24	2	0
25	25	2	0
26	26	1	0
27	27	1	0
28	28	4	1
29	29	2	0
30	30	3	0
31	31	3	0
32	32	2	0
33	33	2	0
34	34	2	0
35	35	2	0
36	36	1	0
37	37	2	1
38	38	2	0
39	39	3	1
40	40	2	1
41	41	2	0
42	42	4	1
43	43	2	1
44	44	3	0
45	45	1	0
46	46	2	1
47	47	3	1
48	48	3	0
49	49	1	0
50	50	3	0
51	51	1	0
52	52	2	1
53	53	3	1
54	54	2	0
55	55	4	2
56	56	2	0
57	57	1	0
58	58	2	0
59	59	2	0
60	60	1	1
61	61	1	0
62	62	2	1
63	63	1	0
64	64	1	0
65	65	3	0
66	66	1	0
67	67	1	1
68	68	1	0
69	69	3	0
70	70	3	0
71	71	3	0
72	72	1	0
73	73	2	0
74	74	2	1
75	75	1	1
76	76	3	0
77	77	3	0
78	78	3	0
79	79	7	2
80	80	3	0
81	81	1	0
82	82	3	0
83	83	4	2
84	84	3	2
85	85	3	1
86	86	1	0
87	87	2	1
88	88	2	1
89	89	2	0
90	90	2	0
91	91	2	1
92	92	2	0
93	93	3	1
94	94	1	1
95	95	6	1
96	96	2	0
97	97	1	0
98	98	1	0
99	99	1	0
100	100	2	0
101	101	2	0
102	102	2	1
103	103	1	0
104	104	4	1
105	105	1	0
106	106	4	0
107	107	1	0
108	108	3	0
109	109	2	0
110	110	2	0
111	111	3	2
112	112	3	0
113	113	5	1
114	114	2	0
115	115	2	0
116	116	3	1
117	117	2	1
118	118	3	1
119	119	2	0
120	120	1	1
121	121	2	0
122	122	1	0
123	123	6	0
