Slide_Number	Crypt_ID	LGR5_Count	Ectopic_Count
1	1	2	
2	2	4	
3	3	3	
4	4	1	
5	5	3	
6	6	2	
7	7	1	
8	8	3	
9	9	2	
10	10	1	
11	11	4	
12	12	1	
13	13	2	
14	14	3	
15	15	3	
16	16	2	
17	17	10	
18	18	4	
19	19	3	
20	20	2	
21	21	4	
22	22	1	
23	23	3	
24	24	2	
25	25	2	
26	26	1	
27	27	1	
28	28	4	
29	29	2	
30	30	3	
31	31	3	
32	32	5	
33	33	2	
34	34	2	
35	35	3	
36	36	1	
37	37	2	
38	38	2	
39	39	3	
40	40	2	
41	41	2	
42	42	4	
43	43	2	
44	44	3	
45	45	1	
46	46	2	
47	47	3	
48	48	3	
49	49	1	
50	50	3	
51	51	1	
52	52	2	
53	53	3	
54	54	2	
55	55	4	
56	56	2	
57	57	1	
58	58	2	
59	59	2	
60	60	1	
61	61	1	
62	62	2	
63	63	1	
64	64	1	
65	65	3	
66	66	1	
67	67	1	
68	68	1	
69	69	2	
70	70	3	
71	71	3	
72	72	1	
73	73	1	
74	74	2	
75	75	1	
76	76	3	
77	77	4	
78	78	3	
79	79	7	
80	80	3	
81	81	1	
82	82	3	
83	83	4	
84	84	3	
85	85	3	
86	86	1	
87	87	2	
88	88	2	
89	89	1	
90	90	2	
91	91	2	
92	92	2	
93	93	3	
94	94	1	
95	95	6	
96	96	3	
97	97	1	
98	98	1	
99	99	1	
100	100	2	
101	101	2	
102	102	2	
103	103	1	
104	104	4	
105	105	1	
106	106	4	
107	107	1	
108	108	3	
109	109	2	
110	110	2	
111	111	3	
112	112	3	
113	113	5	
114	114	2	
115	115	2	
116	116	3	
117	117	4	
118	118	4	
119	119	2	
120	120	1	
121	121	2	
122	122	1	
123	123	6	
